"resultado","convocatoria","escalafon","sexo","disciplina_codigo","n"
"Denegado","2013","Becas doctorales","M","KA1",17
"Denegado","2013","Becas doctorales","M","KA2",38
"Denegado","2013","Becas doctorales","M","KA3",11
"Denegado","2013","Becas doctorales","M","KA4",16
"Denegado","2013","Becas doctorales","M","KA5",20
"Denegado","2013","Becas doctorales","M","KB1",26
"Denegado","2013","Becas doctorales","M","KB2",46
"Denegado","2013","Becas doctorales","M","KB3",27
"Denegado","2013","Becas doctorales","M","KB4",7
"Denegado","2013","Becas doctorales","M","KE1",25
"Denegado","2013","Becas doctorales","M","KE2",4
"Denegado","2013","Becas doctorales","M","KE3",14
"Denegado","2013","Becas doctorales","M","KE4",2
"Denegado","2013","Becas doctorales","M","KE5",12
"Denegado","2013","Becas doctorales","M","KS1",29
"Denegado","2013","Becas doctorales","M","KS2",30
"Denegado","2013","Becas doctorales","M","KS3",31
"Denegado","2013","Becas doctorales","M","KS4",44
"Denegado","2013","Becas doctorales","M","KS5",37
"Denegado","2013","Becas doctorales","M","KS6",12
"Denegado","2013","Becas doctorales","M","KS7",25
"Denegado","2013","Becas doctorales","M","KS8",8
"Denegado","2013","Becas doctorales","X","KE1",1
"Denegado","2013","Becas externas","F","KA3",1
"Denegado","2013","Becas externas","F","KA5",2
"Denegado","2013","Becas externas","F","KB2",1
"Denegado","2013","Becas externas","F","KS2",1
"Denegado","2013","Becas externas","F","KS4",2
"Denegado","2013","Becas externas","M","KS4",1
"Denegado","2013","Becas externas","M","KS5",1
"Denegado","2013","Becas postdoctorales","F","KA1",24
"Denegado","2013","Becas postdoctorales","F","KA2",2
"Denegado","2013","Becas postdoctorales","F","KA3",8
"Denegado","2013","Becas postdoctorales","F","KA4",2
"Denegado","2013","Becas postdoctorales","F","KA5",16
"Denegado","2013","Becas postdoctorales","F","KB1",24
"Denegado","2013","Becas postdoctorales","F","KB2",53
"Denegado","2013","Becas postdoctorales","F","KB3",18
"Denegado","2013","Becas postdoctorales","F","KB4",10
"Denegado","2013","Becas postdoctorales","F","KE1",23
"Denegado","2013","Becas postdoctorales","F","KE2",2
"Denegado","2013","Becas postdoctorales","F","KE3",4
"Denegado","2013","Becas postdoctorales","F","KE5",6
"Denegado","2013","Becas postdoctorales","F","KS1",11
"Denegado","2013","Becas postdoctorales","F","KS2",27
"Denegado","2013","Becas postdoctorales","F","KS3",8
"Denegado","2013","Becas postdoctorales","F","KS4",52
"Denegado","2013","Becas postdoctorales","F","KS5",37
"Denegado","2013","Becas postdoctorales","F","KS6",8
"Denegado","2013","Becas postdoctorales","F","KS7",20
"Denegado","2013","Becas postdoctorales","F","KS8",8
"Denegado","2013","Becas postdoctorales","F","KT1",6
"Denegado","2013","Becas postdoctorales","M","KA1",5
"Denegado","2013","Becas postdoctorales","M","KA2",4
"Denegado","2013","Becas postdoctorales","M","KA3",3
"Denegado","2013","Becas postdoctorales","M","KA4",4
"Denegado","2013","Becas postdoctorales","M","KA5",13
"Denegado","2013","Becas postdoctorales","M","KB1",8
"Denegado","2013","Becas postdoctorales","M","KB2",15
"Denegado","2013","Becas postdoctorales","M","KB3",7
"Denegado","2013","Becas postdoctorales","M","KB4",5
"Denegado","2013","Becas postdoctorales","M","KE1",6
"Denegado","2013","Becas postdoctorales","M","KE2",5
"Denegado","2013","Becas postdoctorales","M","KE3",4
"Denegado","2013","Becas postdoctorales","M","KE4",2
"Denegado","2013","Becas postdoctorales","M","KE5",8
"Denegado","2013","Becas postdoctorales","M","KS1",15
"Denegado","2013","Becas postdoctorales","M","KS2",9
"Denegado","2013","Becas postdoctorales","M","KS3",14
"Denegado","2013","Becas postdoctorales","M","KS4",32
"Denegado","2013","Becas postdoctorales","M","KS5",16
"Denegado","2013","Becas postdoctorales","M","KS6",4
"Denegado","2013","Becas postdoctorales","M","KS7",7
"Denegado","2013","Becas postdoctorales","M","KS8",3
"Denegado","2013","Becas postdoctorales","M","KT1",5
"Denegado","2013",NA,"F","KA1",14
"Denegado","2013",NA,"F","KA2",1
"Denegado","2013",NA,"F","KA3",9
"Denegado","2013",NA,"F","KA4",1
"Denegado","2013",NA,"F","KA5",13
"Denegado","2013",NA,"F","KB1",2
"Denegado","2013",NA,"F","KB2",7
"Denegado","2013",NA,"F","KB3",2
"Denegado","2013",NA,"F","KB4",1
"Denegado","2013",NA,"F","KE1",12
"Denegado","2013",NA,"F","KE3",2
"Denegado","2013",NA,"F","KE5",4
"Denegado","2013",NA,"F","KS1",3
"Denegado","2013",NA,"F","KS4",5
"Denegado","2013",NA,"F","KS5",2
"Denegado","2013",NA,"F","KS6",1
"Denegado","2013",NA,"F","KS7",1
"Denegado","2013",NA,"M","KA1",6
"Denegado","2013",NA,"M","KA2",5
"Denegado","2013",NA,"M","KA4",2
